,dim,best_val
0,3,1.0862696016174183e-25
1,3,1.0941605772523441e-24
2,3,1.4799672517507805e-24
3,3,1.6895032528004213e-24
4,3,3.637998218254858e-25
5,3,3.074596471455373e-24
6,3,6.44213397487424e-25
7,3,1.619421490930072e-25
8,3,1.0978245033564013e-24
9,3,2.45977097765631e-25
10,3,9.041087157957057e-24
11,3,1.688457814885777e-24
12,3,1.9101527262828156e-26
13,3,1.848219946867206e-24
14,3,8.024407305293623e-22
15,3,1.8358580527481336e-26
16,3,2.3538475424243737e-26
17,3,2.601925906796529e-24
18,3,1.9862631357541868e-23
19,3,1.391601326053406e-23
20,3,5.71477710316685e-25
21,3,6.473365471150006e-25
22,3,1.8387719077167937e-26
23,3,7.779918440834086e-25
24,3,2.2827129963722005e-25
25,5,6.8669543204230106e-18
26,5,9.002537969559628e-19
27,5,8.175587461594889e-16
28,5,4.678333476128239e-18
29,5,2.288117863145681e-17
30,5,1.6455432583525341e-16
31,5,4.0384145183509306e-18
32,5,6.057348513923849e-17
33,5,4.891337697531964e-18
34,5,5.811539062111643e-19
35,5,6.824983156530261e-18
36,5,5.062459450671781e-19
37,5,1.2479539257202267e-16
38,5,1.1428572565623225e-17
39,5,1.4845037704173365e-17
40,5,1.2649466570037347e-17
41,5,1.6893738982125656e-18
42,5,6.0952515490240445e-18
43,5,4.594802120789869e-17
44,5,1.7169946532158487e-17
45,5,4.67211058071818e-18
46,5,7.436515714868479e-18
47,5,2.6739565747317193e-17
48,5,8.709051788931844e-18
49,5,1.781683534405159e-18
50,10,4.526015456829062e-09
51,10,1.775964926818817e-08
52,10,1.1288291811273144e-07
53,10,2.4042209995200293e-08
54,10,3.642805624213427e-09
55,10,3.801264583391193e-07
56,10,6.338259050725912e-09
57,10,3.7133339065051374e-09
58,10,1.2060047962210843e-07
59,10,3.628707527469305e-08
60,10,7.510544843547702e-07
61,10,6.098302621100908e-08
62,10,4.441486823689188e-08
63,10,6.964621974525577e-09
64,10,5.15496351469333e-10
65,10,5.416752978612704e-10
66,10,2.221985105506315e-08
67,10,6.523688941332946e-08
68,10,1.048696079992923e-07
69,10,9.33725758952435e-09
70,10,3.4274276080005567e-09
71,10,2.7913431255178947e-08
72,10,2.600325147562817e-08
73,10,3.874668784408927e-08
74,10,9.791868779953037e-08
75,20,5.884434407095906
76,20,0.3118832087717354
77,20,7.2779663115180595
78,20,8.283991595440764
79,20,4.574060783361395
80,20,1.9706042602564016
81,20,5.986144368551583
82,20,6.320718051515095
83,20,3.985240959329369
84,20,7.311329283929581
85,20,3.0885197853303685
86,20,6.436840305589974
87,20,7.039286349744232
88,20,1.9596961589798085
89,20,6.104478918530991
90,20,2.7270431955157775
91,20,6.351908455957277
92,20,5.207613393219473
93,20,5.460328911941281
94,20,6.170477688838977
95,20,5.4420305358366265
96,20,5.805491957505189
97,20,4.868243171425741
98,20,4.012916477565799
99,20,0.003481178251685718
100,50,44.64719089901175
101,50,44.78008205220289
102,50,40.59905125663695
103,50,43.5114096540596
104,50,43.54667986847754
105,50,42.155482482389424
106,50,43.358989396263034
107,50,46.17074033445649
108,50,45.0677120184944
109,50,43.85838881375308
110,50,45.288895715121605
111,50,44.66865577827496
112,50,43.75885941671338
113,50,43.80045129063316
114,50,47.602612018199316
115,50,44.55997665451231
116,50,42.11434218353229
117,50,45.340329285409986
118,50,44.86428349830035
119,50,43.31249197888362
120,50,44.41772145107873
121,50,44.849030270055906
122,50,45.56597470081765
123,50,43.15529690951305
124,50,43.462602691952924
125,70,66.99066981310696
126,70,67.65675647200749
127,70,68.49160565366155
128,70,67.10076093169127
129,70,63.86165249191058
130,70,63.84853432014316
131,70,67.41475060607686
132,70,65.10819570798147
133,70,66.65801103563514
134,70,69.23645807195413
135,70,66.45984507941671
136,70,66.07996763862387
137,70,67.07135990711166
138,70,66.08164858663487
139,70,67.49915570379076
140,70,64.83564741479701
141,70,66.33966405570571
142,70,67.00247254668898
143,70,65.7448989310893
144,70,65.59359311663351
145,70,65.94468114358466
146,70,63.51755310706313
147,70,69.39363257551794
148,70,66.80314429094629
149,70,68.77586298157128
