"Dim","R"
2,0.00421062564849854
4,0.0036741042137146
6,0.00367042541503906
8,0.00387160491943359
10,0.00380731439590454
12,0.00400867176055908
14,0.00412888145446777
16,0.00425672483444214
18,0.00441840934753418
20,0.00444032907485962
22,0.00510640954971314
24,0.0054893159866333
26,0.00522229337692261
28,0.00501471138000488
30,0.00513254308700562
32,0.0052441840171814
34,0.00539562511444092
36,0.00568226718902588
38,0.00597003793716431
40,0.00591610431671143
42,0.00615330648422241
44,0.0062771143913269
46,0.00656267023086548
48,0.00676191377639771
50,0.00689964389801025
52,0.00707160949707031
54,0.00739139699935913
56,0.0075616283416748
58,0.00775154113769531
60,0.00797457361221313
62,0.00828369903564453
64,0.00873429918289185
66,0.00895579242706299
68,0.00917205286026001
70,0.00938894319534302
