"dim","best_val"
3,0
3,0
3,0
3,0
3,0
3,0
3,0.99495905709329
3,0
3,1.08819261746715
3,0
3,1.00078911078398
3,0.99495905709329
3,0
3,0
3,0
3,0.99495905709329
3,0.99495905709329
3,0
3,0
3,0
3,0.0251379683964021
3,0
3,0.000373591908669368
3,0
3,0
5,1.98991811418658
5,0.99495905709329
5,1.0023692284079
5,0.99495905709329
5,0.99495905709329
5,0.99495905709329
5,2.98487717127987
5,1.98991811418658
5,0.99495905709329
5,0.99495905709329
5,0.99495905709329
5,0.00342709995490686
5,1.98991811418658
5,0.99495905709329
5,0
5,0.99495905709329
5,0
5,2.10948807327822
5,0
5,0.99495905709329
5,0.99495905709329
5,0
5,0.99495905709329
5,0
5,0
10,3.97983622851143
10,3.97983622854952
10,6.91218143744526
10,7.19303650823648
10,3.97985327549857
10,5.96974930510651
10,5.53326703589362
10,6.96470836236703
10,2.98487717128437
10,3.0772186543806
10,9.43458276837068
10,2.98487717134069
10,9.96046789302114
10,2.98487717131494
10,6.96471339965688
10,0.994959057103117
10,1.92455229427533
10,4.97479528547226
10,2.98487717145956
10,5.18183973259922
10,3.06637274676783
10,4.97479528629861
10,3.97983622838509
10,6.96470836184323
10,3.97983622839051
20,10.0153794353363
20,16.5430404506456
20,17.7843045696545
20,11.1287824549291
20,14.6462014603827
20,17.2483930709668
20,12.8891031638295
20,5.35685845270129
20,6.87167010280456
20,6.60232169969372
20,19.5284995174088
20,26.5277450776423
20,13.0126891305066
20,9.20688111922509
20,4.97847593872485
20,14.0798481994083
20,21.8641100653568
20,22.9802674145886
20,37.0735456875735
20,20.5090045330909
20,13.4502351333145
20,15.8245873836522
20,37.9426376972225
20,14.9346590392661
20,11.057380291836
50,149.633862597242
50,94.1085826991237
50,124.502208777031
50,86.0467008484619
50,178.836204950128
50,167.541015371364
50,83.9410446265782
50,93.3255530467436
50,152.990733442264
50,191.009634936857
50,148.430416158905
50,91.5024181716182
50,97.6889792309717
50,117.936348778491
50,148.616858243654
50,161.214410192827
50,167.892154405762
50,138.378014537273
50,72.2501268598274
50,150.433647065439
50,120.014603423977
50,126.515209962086
50,199.510380405423
50,174.277145026655
50,198.144822122299
70,256.47016206386
70,246.434122299453
70,385.862262250819
70,340.867858736131
70,189.910742603811
70,375.099481590628
70,324.265157599811
70,295.483191781564
70,238.700029527118
70,224.881594220288
70,230.747000929573
70,291.262040637869
70,202.165364323612
70,288.034604918667
70,236.318129802506
70,301.208899973023
70,229.597990747604
70,327.599862932194
70,243.981766866541
70,271.263014006112
70,316.85490344113
70,321.917967259103
70,250.571524062722
70,366.2380488249
70,340.838934952807
