"dim","best_val"
3,1.40572238196327e-22
3,7.84672929696412e-23
3,2.2265588868627e-22
3,2.34105645866905e-24
3,2.65362165796661e-23
3,1.70463302810802e-23
3,1.14495519535406e-24
3,6.93158259458916e-22
3,6.71461591158678e-24
3,9.73989388393148e-24
3,1.7307848887777e-22
3,4.09178493688729e-23
3,3.46043472504192e-23
3,8.59234458481815e-23
3,2.31222373309908e-23
3,6.04734798265375e-22
3,4.03472818364079e-22
3,1.86603746742132e-24
3,6.5536894332352e-23
3,1.08733178852819e-22
3,1.02256886259046e-21
3,5.84260587206881e-22
3,1.047752703711e-22
3,2.24765287462651e-24
3,1.06186210222884e-23
5,1.70147484151329e-16
5,1.53042399684776e-17
5,9.15798099356415e-17
5,2.30726169244451e-16
5,1.25278631867208e-14
5,1.92736534516673e-16
5,3.46605938356153e-16
5,1.8380159393959e-16
5,3.64668165944858e-16
5,6.26440656410991e-15
5,7.4869855933344e-15
5,5.5955803175964e-16
5,7.13052974918357e-17
5,4.77861170792102e-16
5,2.0211287859035e-15
5,2.09252497117622e-17
5,1.70272058054627e-14
5,8.39157559375541e-18
5,3.66553681867064e-17
5,2.20020206682148e-16
5,1.06054781502926e-15
5,8.21393441741328e-18
5,7.2078339641886e-17
5,1.59779946349609e-14
5,5.81684285320445e-18
10,0.000741176713268801
10,6.11020403964273e-08
10,5.61772329269296e-06
10,4.16254476646005e-07
10,6.18344737850264e-06
10,2.15810198518155e-07
10,1.25838542328543e-05
10,3.2098075964169e-06
10,2.21250690707164e-05
10,7.89841275498703e-07
10,2.20217688628537e-06
10,2.85681775005678e-06
10,1.24706307623735e-06
10,0.000136899560565641
10,0.000950350368253759
10,3.45788795167156e-05
10,1.35647905548895e-05
10,2.74571421505235e-07
10,3.7867733145117e-06
10,1.92416933633552e-06
10,1.44314776015224e-06
10,7.0404969690349e-07
10,2.04292816800983e-06
10,9.92827914976327e-06
10,3.91439682783662e-06
20,8.0312668226051
20,8.33898286488865
20,9.22385814265374
20,9.04593430437415
20,8.02021820427528
20,8.75545413284639
20,7.50734864793518
20,7.13231407507207
20,8.22172659433115
20,8.68782341596377
20,9.67017347909242
20,7.34294066931766
20,8.94479000716204
20,9.94624237114204
20,7.55458104833806
20,8.77380241131492
20,8.50990989592627
20,8.91657161264041
20,8.79792758362224
20,9.99442240274279
20,8.13266294737344
20,9.00268661380503
20,8.81718464296481
20,8.59009198271374
20,9.59879259164383
50,46.9597368186599
50,46.2778860583358
50,46.7903917286404
50,47.3322744925586
50,46.9782522589099
50,48.2758582789786
50,47.1845951062908
50,47.2279870305014
50,47.4931400050076
50,47.4557643930538
50,47.3093660948916
50,46.4188522190617
50,46.5288900523225
50,47.9226009147397
50,46.9086397365492
50,46.677659863873
50,46.7135899900373
50,47.5573521466992
50,47.4579468657065
50,47.7044888363242
50,46.836863085222
50,46.9736157185737
50,47.0975875979117
50,47.2902117586488
50,47.7268200261423
70,68.849883970593
70,68.9294846552875
70,68.2294663891592
70,68.2598328464102
70,68.568673807701
70,67.9826305782691
70,68.642003399566
70,67.699891103572
70,68.2425156430901
70,68.726554100304
70,68.4073273103434
70,73.528721460815
70,74.3483963352538
70,68.2099241667735
70,67.6458183288613
70,67.3404207141912
70,68.7666559031252
70,68.328260442799
70,68.4638823599115
70,68.0499368757245
70,68.5711431194416
70,67.9716090078351
70,67.9970885657964
70,68.5385842337117
70,69.0531337538795
