,Dim,Python
0,2,0.001747256278991699
1,4,0.002784346103668213
2,6,0.0028619589805603026
3,8,0.0016501455307006837
4,10,0.0017932353019714355
5,12,0.002017621040344238
6,14,0.002264106750488281
7,16,0.00226800537109375
8,18,0.002449391841888428
9,20,0.002724545955657959
10,22,0.002856742858886719
11,24,0.003325399875640869
12,26,0.003265223503112793
13,28,0.003546595573425293
14,30,0.003853651523590088
15,32,0.003853474617004394
16,34,0.004132871627807617
17,36,0.004537878513336181
18,38,0.009513895034790039
19,40,0.008063992500305176
20,42,0.008221735954284668
21,44,0.008678701877593994
22,46,0.009036991119384767
23,48,0.009367097377777099
24,50,0.009794291496276855
25,52,0.009906343936920166
26,54,0.010177274703979493
27,56,0.011103338241577148
28,58,0.011824433326721192
29,60,0.012787496566772461
30,62,0.011898740291595458
31,64,0.013469333648681641
32,66,0.014427864551544189
33,68,0.01509156560897827
34,70,0.016209044456481934
