,Dim,Python
0,2,0.0005761499404907226
1,4,0.0009618778228759766
2,6,0.0013934159278869629
3,8,0.0017783508300781249
4,10,0.002167238235473633
5,12,0.0022905559539794923
6,14,0.002789083957672119
7,16,0.0034598684310913085
8,18,0.004289364814758301
9,20,0.004879386425018311
10,22,0.005591689586639404
11,24,0.006305706977844238
12,26,0.007252690792083741
13,28,0.009448384284973145
14,30,0.009190670967102051
15,32,0.009978789329528809
16,34,0.010896577835083009
17,36,0.012274183750152589
18,38,0.013424006938934325
19,40,0.013839527130126952
20,42,0.015008887767791749
21,44,0.015272533893585205
22,46,0.017227645874023437
23,48,0.018055435180664065
24,50,0.01934333372116089
25,52,0.02193689203262329
26,54,0.029187400341033936
27,56,0.024544783115386964
28,58,0.024878942966461183
29,60,0.026052794933319093
30,62,0.02774708080291748
31,64,0.029621179580688477
32,66,0.0327410626411438
33,68,0.03423456525802612
34,70,0.03537643909454346
