,dim,best_val
0,3,0.0
1,3,0.0
2,3,0.0
3,3,0.0
4,3,0.0
5,3,0.0
6,3,0.0
7,3,0.0
8,3,0.0
9,3,0.0
10,3,0.0
11,3,0.0
12,3,0.0
13,3,0.0
14,3,0.0
15,3,0.0
16,3,0.0
17,3,0.0
18,3,0.0
19,3,0.0
20,3,0.0
21,3,2.465190328815662e-31
22,3,0.0
23,3,0.0
24,3,1.050171080075472e-29
25,5,7.311523915982385e-20
26,5,1.3150567691146423e-11
27,5,2.1809873338010343e-18
28,5,3.992114307730995e-17
29,5,5.512570589579836e-11
30,5,5.571081619437508e-13
31,5,7.757780521962239e-17
32,5,2.697569570544244e-15
33,5,9.901046596497324e-23
34,5,1.9201958589075325e-10
35,5,2.3339374633125376e-11
36,5,9.821402799166419e-14
37,5,8.992743140544506e-15
38,5,2.8055953434701618e-15
39,5,3.1556541711367225e-15
40,5,1.711378640022551e-14
41,5,1.5200749291769592e-08
42,5,1.1663542077012403e-15
43,5,2.1095442997421863e-14
44,5,3.5319207416054815e-11
45,5,2.4103732170465786e-12
46,5,1.248493889077516e-08
47,5,4.0660447757624996e-15
48,5,2.1734870663913803e-11
49,5,8.679015930487602e-13
50,10,0.08284141595845357
51,10,0.15644765452495762
52,10,0.10710973378099486
53,10,0.0674943889185576
54,10,0.18625009269600978
55,10,0.0964516255150157
56,10,0.07689129905684175
57,10,0.1156290489071617
58,10,0.1027645944095068
59,10,0.04557924418050633
60,10,0.0968756277131411
61,10,0.10356074769842144
62,10,0.15910158765905108
63,10,0.06055622385001429
64,10,0.2131281869928499
65,10,0.04997792154378595
66,10,0.1467677384858431
67,10,0.09859578700709523
68,10,0.013277625908797875
69,10,0.3415596604135544
70,10,0.09092921539514746
71,10,0.13393484214132817
72,10,0.06650238665413746
73,10,0.12660535945810533
74,10,0.04905310881346701
75,20,14.778511659885442
76,20,14.790118266149447
77,20,15.245671585626733
78,20,15.843077388004152
79,20,14.26389741716762
80,20,14.749418232179556
81,20,13.770616128192048
82,20,14.912603653432503
83,20,15.437928487316924
84,20,14.214357374075707
85,20,12.786766972384482
86,20,14.749438485042768
87,20,14.304046471877346
88,20,12.86439630275714
89,20,14.038634973383699
90,20,13.321802398991482
91,20,13.570211503488398
92,20,15.106110000519925
93,20,14.060002532764722
94,20,13.927261562989045
95,20,13.966339441243063
96,20,14.416270530906617
97,20,13.98614520389067
98,20,14.50522887035922
99,20,15.122902042823899
100,50,47.96039768053436
101,50,47.59595703517415
102,50,47.60006852966836
103,50,46.7841717399777
104,50,47.40913782174219
105,50,47.014391461823124
106,50,47.15983138145071
107,50,47.068701444355
108,50,43.831766341392196
109,50,45.205049697250665
110,50,45.86240432939488
111,50,47.194898373414645
112,50,47.06736063429657
113,50,46.31231089892297
114,50,46.705425854325675
115,50,46.92807176888816
116,50,45.023129189717444
117,50,45.75497902508473
118,50,45.58980127013735
119,50,47.43909385559635
120,50,47.12805639603199
121,50,46.78530512326726
122,50,47.57640653918025
123,50,45.937083763369145
124,50,47.6475584132932
125,70,67.15595498424898
126,70,66.70153915146012
127,70,67.36459856166394
128,70,67.29152831901868
129,70,66.78261828883251
130,70,67.81003875809365
131,70,66.14373351795135
132,70,68.14590698352728
133,70,67.43251505341527
134,70,65.26675096631233
135,70,67.81395832928828
136,70,63.61564619970911
137,70,67.15943662222058
138,70,67.5617898731239
139,70,66.58578973713203
140,70,67.2897950215499
141,70,66.01057880683678
142,70,66.72785522450926
143,70,66.63754682083966
144,70,67.4645586272695
145,70,67.7395085858786
146,70,65.6396940837416
147,70,67.05499281921884
148,70,67.19318413525987
149,70,65.98440667634193
