,dim,best_val
0,3,9.441742711649307e-75
1,3,1.9585368492123758e-75
2,3,2.5175888490449433e-77
3,3,1.8556900015162505e-71
4,3,1.036267082105535e-72
5,3,1.8320267702547592e-13
6,3,1.605627841581184e-70
7,3,2.0770213330317283e-35
8,3,3.9906970024594457e-75
9,3,3.872212912548597e-76
10,3,1.8742384129105062e-71
11,3,6.133098632620789e-76
12,3,1.2255954621898545e-76
13,3,4.5034209238873835e-73
14,3,2.993789601216908e-72
15,3,8.89047135933362e-73
16,3,2.3106983244089498e-73
17,3,4.0574446337575774e-75
18,3,3.3066986676937273e-76
19,3,3.4778816619830426e-73
20,3,2.242917427587212e-69
21,3,2.179534801108107e-11
22,3,9.529294235648625e-74
23,3,2.0195269274523033e-72
24,3,3.429070409839799e-72
25,5,1.477433174164902e-43
26,5,1.3157827302101683e-43
27,5,6.648903521394532e-43
28,5,2.4311128339358498e-42
29,5,5.487752826661168e-43
30,5,1.8640167446824184e-43
31,5,1.3925634176922626e-43
32,5,3.609862852919701e-40
33,5,1.513256227839712e-41
34,5,1.856663804376308e-42
35,5,2.5787253858838117e-44
36,5,1.839341593502177e-42
37,5,1.0770473574655006e-40
38,5,1.8275758543630226e-43
39,5,1.9216560721703688e-41
40,5,2.5220194253302975e-43
41,5,5.423148030022116e-44
42,5,5.079543027704176e-44
43,5,2.062666865741961e-40
44,5,5.254077501849845e-44
45,5,1.1423899093775838e-42
46,5,9.827720054869338e-43
47,5,3.046969101230643e-42
48,5,5.030768032754025e-44
49,5,4.3928704782896464e-41
50,10,1.8502140071779995e-18
51,10,1.6029952322423498e-17
52,10,5.010048417265679e-17
53,10,3.8401369571282243e-17
54,10,2.8936967481559297e-17
55,10,2.3352469330603582e-17
56,10,5.049757982339924e-18
57,10,3.630844855273751e-17
58,10,5.001552058335517e-18
59,10,3.723769133490544e-18
60,10,7.328541102412225e-19
61,10,8.04083152951439e-18
62,10,2.2231793613151187e-17
63,10,9.994370412966846e-18
64,10,1.638193963872712e-17
65,10,2.788611470048579e-18
66,10,4.5270967202095885e-18
67,10,7.055597964631527e-18
68,10,9.920544926002308e-19
69,10,7.863356960109215e-18
70,10,6.1650950830169874e-18
71,10,1.3113087075177361e-17
72,10,2.2638593842137147e-18
73,10,3.9886102260909176e-18
74,10,5.651379280836921e-19
75,20,2.4978450440163977e-07
76,20,1.1953939618968292e-06
77,20,3.659593267925387e-07
78,20,5.151708831769811e-07
79,20,5.808635348115355e-07
80,20,2.1865953243239658e-07
81,20,5.353646554661586e-07
82,20,3.181717828438732e-07
83,20,1.6756037694465226e-07
84,20,1.7509328674175355e-06
85,20,1.4098042869593805e-07
86,20,4.611004827560997e-07
87,20,1.0989090292684027e-06
88,20,1.8756881406594796e-07
89,20,1.83962146143423e-07
90,20,6.67950601721215e-08
91,20,4.856678369740721e-07
92,20,2.0968323017024142e-07
93,20,2.7423913766682446e-07
94,20,2.9833608527435566e-07
95,20,7.453604350471473e-08
96,20,3.2037897947413883e-07
97,20,2.8526551338835755e-07
98,20,2.2358655687812155e-07
99,20,2.7767660937344006e-07
100,50,0.031116437511237053
101,50,0.10266951054442107
102,50,0.047209465912158056
103,50,0.05231025554921145
104,50,0.06911176525538414
105,50,0.05665174536322699
106,50,0.11307940939213014
107,50,0.050054592778211886
108,50,0.1295597263046048
109,50,0.04850564245955409
110,50,0.11051479828665782
111,50,0.07985709249289602
112,50,0.049797345793480885
113,50,0.08237828285784672
114,50,0.12916410368072878
115,50,0.08972290205010076
116,50,0.0864264461979806
117,50,0.026725099931989595
118,50,0.05036842066523729
119,50,0.08263782875700401
120,50,0.10670941845328259
121,50,0.21378191412918768
122,50,0.06118494528864732
123,50,0.08077080029684233
124,50,0.08811970494603767
125,70,0.5782910527080458
126,70,0.7412666737079713
127,70,0.6563232581563136
128,70,0.25806816803329774
129,70,1.121512072728249
130,70,0.30376164005407585
131,70,0.6945805449464201
132,70,0.5718824688107719
133,70,0.45169454170385775
134,70,0.6465613971100793
135,70,0.7871711789215962
136,70,0.5108947571274188
137,70,0.6061310435370646
138,70,0.6441855750303114
139,70,0.2574617642898658
140,70,0.6283631551523847
141,70,0.23283821269144672
142,70,0.6002823325791201
143,70,0.7200240128981107
144,70,0.745535128084553
145,70,0.6908504541888111
146,70,0.762064236939573
147,70,0.8257536739046025
148,70,0.44058091875351946
149,70,0.47330360525407894
