"dim","best_val"
3,1.52212754531097e-26
3,4.13302270821753e-26
3,1.40648251909364e-27
3,3.11338735691894e-27
3,1.29226585710118e-27
3,7.47420131876667e-27
3,6.65138580852752e-27
3,9.83876447763471e-28
3,1.63996619975956e-27
3,1.38338178637324e-26
3,1.62662751678677e-27
3,2.63945310339886e-26
3,5.06295788407832e-27
3,2.7692442736918e-28
3,2.22655865703933e-26
3,1.02014606868058e-27
3,7.49895900611368e-26
3,1.97313995494656e-26
3,5.12826479680472e-27
3,1.2614814912932e-26
3,5.91801042892541e-27
3,3.09529234792634e-26
3,1.03461742633956e-26
3,1.54019570857656e-26
3,7.21121112333793e-28
5,6.15633401889499e-22
5,1.16541313298866e-19
5,4.12931010625234e-21
5,9.73267805918369e-22
5,3.49837880008154e-21
5,1.56097414352801e-21
5,3.9584119567496e-20
5,7.2590440159933e-21
5,1.48933085131978e-21
5,1.6229142268155e-20
5,1.32567204440865e-20
5,1.12525287599144e-21
5,2.33726570416442e-20
5,9.33603104581165e-22
5,1.46963899080182e-20
5,2.27846444765884e-20
5,7.67558235905306e-21
5,2.46970011392418e-21
5,1.35827121582895e-20
5,4.24185852519925e-20
5,1.4839508363674e-20
5,1.82015969817744e-21
5,1.71180713897835e-20
5,1.24777143925195e-20
5,1.19187371843741e-21
10,1.77029342775897e-12
10,7.49714583114187e-13
10,1.45645287502566e-12
10,1.77210351317605e-12
10,6.65583361453598e-13
10,2.49330364255604e-13
10,9.5612705441523e-13
10,8.28684198513288e-13
10,5.37723988832325e-13
10,7.02017163681225e-13
10,1.16384925224011e-13
10,9.29052772591157e-13
10,4.76588659041196e-13
10,1.47896984819942e-12
10,2.64172277735061e-11
10,2.82455028930303e-12
10,4.03246935750985e-13
10,1.99004987831502e-12
10,3.26188334402181e-13
10,4.39624181335214e-13
10,3.63731510552282e-13
10,2.0572216992744e-12
10,5.50363753226806e-13
10,4.58915653368052e-13
10,1.72021099556021e-13
20,1.25455362116963e-07
20,6.21882018478084e-07
20,4.92318140011317e-08
20,1.01923164079396e-07
20,1.71808200545901e-07
20,2.9880794263415e-07
20,1.11346307093859e-07
20,2.05225164753353e-07
20,6.29834002470427e-08
20,9.70928736960418e-08
20,1.18102554405935e-07
20,5.80416279605197e-08
20,1.37898521359336e-07
20,2.21179505674364e-07
20,1.46288698477031e-07
20,1.67590361886023e-07
20,4.34619504593844e-08
20,4.51183925178898e-08
20,8.15611117418163e-08
20,1.53654845261301e-07
20,1.16728869537818e-07
20,2.49706240769092e-07
20,4.19584354795628e-08
20,8.61467422071112e-08
20,5.65967272325286e-08
50,0.000861826604022507
50,0.0038458224080747
50,0.000625929110316918
50,0.000803994141388485
50,0.000824385680768601
50,0.000612182924576374
50,0.000814697023546804
50,0.000469815205676921
50,0.000760462944013495
50,0.000680787968838371
50,0.000710786669844135
50,0.00114597364223556
50,0.000449886534950384
50,0.00707234205626413
50,0.00451826319832538
50,0.00056140043944303
50,0.000562296321955519
50,0.000617262585217739
50,0.00612424169267665
50,0.00599852500732422
50,0.000369629625223276
50,0.00640907294701768
50,0.000511124080311297
50,0.00183174514713334
50,0.000552437036962887
70,0.00400903801819407
70,0.00366448384638228
70,0.00356523151803788
70,0.00648688544361976
70,0.0511255571823031
70,0.00313285046185398
70,0.00494115441218093
70,0.00425266788940606
70,0.00527558566504569
70,0.00572059542952848
70,0.00384029342448496
70,0.0054736366336237
70,0.00759249029341807
70,0.0420736766851773
70,0.00437004349947901
70,0.00379050608323757
70,0.0560775581006105
70,0.00275129606061679
70,0.00359014666089001
70,0.00312602770935191
70,0.00841617252879172
70,0.0667823094005221
70,0.00780909672333771
70,0.00360729321018589
70,0.00630335110512676
